Time,Id
11.7130E+0,-920.1689E-9
11.7309E+0,-920.1060E-9
11.7488E+0,-922.5562E-9
11.7668E+0,-923.6243E-9
11.7847E+0,-924.8599E-9
11.8026E+0,-925.7185E-9
11.8205E+0,-926.4934E-9
11.8384E+0,-925.4882E-9
11.8563E+0,-924.8180E-9
11.8743E+0,-924.2107E-9
11.8922E+0,-923.8966E-9
11.9101E+0,-923.5615E-9
11.9280E+0,-923.2473E-9
11.9459E+0,-925.1950E-9
11.9638E+0,-926.2840E-9
11.9817E+0,-927.4986E-9
11.9996E+0,-928.3781E-9
12.0176E+0,-929.5300E-9
12.0354E+0,-929.5090E-9
12.0534E+0,-928.5038E-9
12.0713E+0,-927.9174E-9
12.0892E+0,-927.4567E-9
12.1071E+0,-927.3729E-9
12.1251E+0,-927.0797E-9
12.1430E+0,-928.6504E-9
12.1609E+0,-930.1372E-9
12.1788E+0,-931.7079E-9
12.1967E+0,-932.6922E-9
12.2146E+0,-933.2367E-9
12.2326E+0,-933.7602E-9
12.2504E+0,-932.2524E-9
12.2684E+0,-931.6241E-9
12.2863E+0,-931.4776E-9
12.3042E+0,-930.7027E-9
12.3221E+0,-930.5351E-9
12.3400E+0,-931.5822E-9
12.3580E+0,-933.0063E-9
12.3759E+0,-933.8859E-9
12.3938E+0,-934.7445E-9
12.4117E+0,-935.6869E-9
12.4296E+0,-936.6293E-9
12.4475E+0,-935.0376E-9
12.4655E+0,-934.3885E-9
12.4834E+0,-933.8021E-9
12.5013E+0,-933.4252E-9
12.5192E+0,-933.0063E-9
12.5371E+0,-934.2419E-9
12.5550E+0,-935.3728E-9
12.5730E+0,-937.2366E-9
12.5909E+0,-938.8910E-9
12.6088E+0,-939.3308E-9
12.6267E+0,-940.1057E-9
12.6446E+0,-938.7654E-9
12.6626E+0,-938.1162E-9
12.6805E+0,-937.4670E-9
12.6984E+0,-937.1738E-9
12.7163E+0,-937.0272E-9
12.7342E+0,-937.9067E-9
12.7521E+0,-939.5822E-9
12.7701E+0,-940.8596E-9
12.7880E+0,-941.6973E-9
12.8059E+0,-942.6187E-9
12.8238E+0,-943.0585E-9
12.8417E+0,-942.4302E-9
12.8597E+0,-941.4250E-9
12.8776E+0,-941.4040E-9
12.8955E+0,-940.8806E-9
12.9134E+0,-940.5455E-9
12.9313E+0,-940.1895E-9
12.9492E+0,-942.4093E-9
12.9671E+0,-943.6030E-9
12.9851E+0,-944.4616E-9
13.0029E+0,-945.7181E-9
13.0209E+0,-946.8490E-9
13.0388E+0,-945.9694E-9
13.0567E+0,-944.8804E-9
13.0746E+0,-944.6920E-9
13.0925E+0,-944.1684E-9
13.1104E+0,-943.7705E-9
13.1284E+0,-943.3726E-9
13.1463E+0,-945.6343E-9
13.1642E+0,-947.2888E-9
13.1821E+0,-948.2312E-9
13.2000E+0,-948.6500E-9
13.2180E+0,-949.2992E-9
13.2359E+0,-948.9641E-9
13.2538E+0,-948.1055E-9
13.2717E+0,-947.7704E-9
13.2896E+0,-947.4982E-9
13.3076E+0,-947.0793E-9
13.3255E+0,-946.7233E-9
13.3434E+0,-948.0427E-9
13.3613E+0,-948.7338E-9
13.3793E+0,-949.5924E-9
13.3972E+0,-950.7232E-9
13.4151E+0,-951.4563E-9
13.4330E+0,-951.6866E-9
13.4509E+0,-950.4091E-9
13.4688E+0,-949.9485E-9
13.4867E+0,-949.2783E-9
13.5046E+0,-948.9431E-9
13.5226E+0,-948.6919E-9
13.5405E+0,-950.4510E-9
13.5584E+0,-951.2258E-9
13.5763E+0,-952.6080E-9
13.5942E+0,-953.4876E-9
13.6122E+0,-954.4718E-9
13.6301E+0,-954.8907E-9
13.6480E+0,-953.0688E-9
13.6659E+0,-952.5661E-9
13.6839E+0,-952.3148E-9
13.7017E+0,-952.1683E-9
13.7197E+0,-951.9379E-9
13.7376E+0,-952.6080E-9
13.7555E+0,-953.6971E-9
13.7734E+0,-954.3462E-9
13.7914E+0,-955.0163E-9
13.8093E+0,-956.0216E-9
13.8272E+0,-956.5033E-9
13.8451E+0,-955.0163E-9
13.8630E+0,-954.5556E-9
13.8810E+0,-954.1368E-9
13.8989E+0,-953.8855E-9
13.9168E+0,-953.4876E-9
13.9347E+0,-954.3253E-9
13.9526E+0,-955.4980E-9
13.9706E+0,-956.2729E-9
13.9885E+0,-957.8645E-9
14.0064E+0,-958.7650E-9
14.0243E+0,-959.1838E-9
14.0422E+0,-958.0948E-9
14.0602E+0,-957.3409E-9
14.0781E+0,-957.0477E-9
14.0960E+0,-956.6080E-9
14.1139E+0,-956.0007E-9
14.1318E+0,-956.1683E-9
14.1497E+0,-958.1368E-9
14.1676E+0,-958.7859E-9
14.1856E+0,-959.7702E-9
14.2035E+0,-960.6707E-9
14.2214E+0,-961.3618E-9
14.2393E+0,-960.2937E-9
14.2572E+0,-959.2467E-9
14.2752E+0,-958.9535E-9
14.2931E+0,-958.4298E-9
14.3110E+0,-958.2624E-9
14.3289E+0,-958.1786E-9
14.3469E+0,-959.7702E-9
14.3648E+0,-960.7963E-9
14.3827E+0,-961.8434E-9
14.4006E+0,-962.7230E-9
14.4185E+0,-963.8329E-9
14.4364E+0,-962.8906E-9
14.4543E+0,-962.1785E-9
14.4723E+0,-961.6550E-9
14.4902E+0,-961.4037E-9
14.5081E+0,-961.1942E-9
14.5260E+0,-960.8173E-9
14.5439E+0,-960.5450E-9
14.5618E+0,-960.0634E-9
14.5798E+0,-960.0215E-9
14.5977E+0,-959.8539E-9
14.6156E+0,-959.8539E-9
14.6335E+0,-959.4143E-9
14.6514E+0,-959.3305E-9
14.6694E+0,-959.3094E-9
14.6873E+0,-958.9953E-9
14.7052E+0,-958.8697E-9
14.7232E+0,-958.9535E-9
14.7411E+0,-958.3880E-9
14.7590E+0,-958.3671E-9
14.7769E+0,-958.1158E-9
14.7948E+0,-958.0110E-9
14.8128E+0,-958.0530E-9
14.8307E+0,-957.8436E-9
14.8486E+0,-957.8225E-9
14.8665E+0,-957.5504E-9
14.8844E+0,-957.4666E-9
14.9024E+0,-957.3829E-9
14.9203E+0,-957.1734E-9
14.9382E+0,-956.5870E-9
14.9561E+0,-956.9012E-9
14.9740E+0,-956.7336E-9
14.9920E+0,-956.5870E-9
15.0099E+0,-956.5661E-9
15.0278E+0,-956.6918E-9
15.0457E+0,-956.2310E-9
15.0636E+0,-956.1263E-9
15.0815E+0,-956.0425E-9
15.0994E+0,-955.9589E-9
15.1173E+0,-955.6655E-9
15.1352E+0,-955.6655E-9
15.1531E+0,-955.5608E-9
15.1711E+0,-955.3723E-9
15.1890E+0,-955.2049E-9
15.2069E+0,-955.1420E-9
15.2248E+0,-955.2258E-9
15.2427E+0,-954.9955E-9
15.2606E+0,-954.8698E-9
15.2786E+0,-954.9535E-9
15.2965E+0,-954.6604E-9
15.3144E+0,-954.7441E-9
15.3324E+0,-954.5556E-9
15.3503E+0,-954.4718E-9
15.3682E+0,-954.5138E-9
15.3861E+0,-954.1159E-9
15.4040E+0,-954.0112E-9
15.4219E+0,-953.8227E-9
15.4399E+0,-953.6133E-9
15.4578E+0,-953.6342E-9
15.4757E+0,-953.4667E-9
15.4936E+0,-953.5086E-9
15.5116E+0,-953.2363E-9
15.5295E+0,-953.3410E-9
15.5474E+0,-952.9850E-9
15.5653E+0,-953.1106E-9
